,,,,,
equipment_id,name,type,brand,model,quantity
E001,Pro Tools Ultimate + iMac Pro,DAW/Computer,Apple/Avid,iMac Pro 3.2GHz Xeon,1
E002,SSL XL Console,Console,SSL,XL,1
E003,Midas Venice Console,Console,Midas,Venice 160,1
E004,Quested S8 Studio Monitor Set,Monitoring,Quested,S8 Active,2
E005,Genelec 8020A Monitor Set,Monitoring,Genelec,8020A,2
E006,Behringer Powerplay Headphone Mixer,Personal Monitoring,Behringer,P16,5
E007,Beyerdynamic DT100 Headphones,Headphones,Beyerdynamic,DT100,8
E008,Neumann U87 Microphone,Microphone,Neumann,U87,2
E009,Shure SM57 Microphone,Microphone,Shure,SM57,7
E010,Martin Custom Shop Steelstring Guitar,Guitar,Martin,OOV-28,1
E011,Gibson Les Paul 1958 Reissue,Guitar,Gibson,Les Paul 1958 Reissue,1
E012,Fender Stratocaster Standard USA,Guitar,Fender,Stratocaster Standard USA,1
E013,Fender Telecaster Thin Line,Guitar,Fender,Telecaster Thin Line,1
E014,Vox AC30 Guitar Amplifier,Amplifier,Vox,AC30,1
E015,Fender Deluxe Reverb Amp,Amplifier,Fender,Deluxe Reverb,1
E016,Marshall JCM900 1960 Lead Cabinet,Amplifier,Marshall,JCM900 1960,1
E017,Pearl Masters Custom Maple Drum Set,Drums,Pearl,Masters Custom Maple,1
E018,DW Performance Snare Drum,Drums,DW,Performance Snare,1
E019,Yamaha S90 Stage Piano,Keyboard,Yamaha,S90,1
E020,Moog Prodigy Synthesizer,Keyboard,Moog,Prodigy,1
E021,Roland SPD 20 Percussion Pad,Percussion,Roland,SPD 20,1
E022,Radial J48 DI,DI,Radial,J48,1
E023,Ampeg SVT-100 Bass Amplifier,Amplifier,Ampeg,SVT-100,1
E024,Line 6 Bass Pod,FX/Processor,Line 6,Bass Pod,1
E025,TC Electronic M3000 Reverb/Delay,FX/Processor,TC Electronic,M3000,1
